,user_id,adopted_user,object_id,creation_time,name,email,creation_source,last_session_creation_time,opted_in_to_mailing_list,enabled_for_marketing_drip,org_id,invited_by_user_id,creation_time_utc,creation_time_unix,creation_delta,lifespan_delta,last_login_delta
0,2.0,1.0,2,2013-11-15 03:45:04,Poole Matthew,MatthewPoole@gustr.com,ORG_INVITE,1396237504.0,0,0,1,316.0,2013-11-15 03:45:04,1384487104,11750400.0,96825986,85075589.0
1,10.0,1.0,10,2013-01-16 22:08:03,Santos Carla,CarlaFerreiraSantos@gustr.com,ORG_INVITE,1401833283.0,1,1,318,4143.0,2013-01-16 22:08:03,1358374083,43459200.0,122939007,79479810.0
2,33.0,1.0,33,2014-03-11 06:29:09,Araujo José,JoseMartinsAraujo@cuvox.de,GUEST_INVITE,1401517749.0,0,0,401,79.0,2014-03-11 06:29:09,1394519349,6998400.0,86793741,79795344.0
3,42.0,1.0,42,2012-11-11 19:05:07,Pinto Giovanna,GiovannaCunhaPinto@cuvox.de,SIGNUP,1401044707.0,1,0,235,,2012-11-11 19:05:07,1352660707,48384000.0,128652383,80268386.0
4,50.0,1.0,50,2012-06-03 11:02:08,Oliveira Gabrielly,GabriellyAlmeidaOliveira@gmail.com,GUEST_INVITE,1350990128.0,0,0,61,50.0,2012-06-03 11:02:08,1338721328,12268800.0,142591762,130322965.0
5,53.0,1.0,53,2013-02-09 23:47:15,Ribeiro Camila,CamilaGomesRibeiro@gmail.com,GUEST_INVITE,1367797635.0,0,0,37,3641.0,2013-02-09 23:47:15,1360453635,7344000.0,120859455,113515458.0
6,60.0,1.0,60,2014-03-21 22:56:03,McEacharn Archie,ArchieMcEacharn@gmail.com,ORG_INVITE,1400194563.0,0,0,88,3463.0,2014-03-21 22:56:03,1395442563,4752000.0,85870527,81118530.0
7,63.0,1.0,63,2012-12-20 16:30:52,Martins Leonor,LeonorAraujoMartins@gmail.com,SIGNUP_GOOGLE_AUTH,1401899452.0,0,0,203,,2012-12-20 16:30:52,1356021052,45878400.0,125292038,79413641.0
8,69.0,1.0,69,2012-06-29 10:15:18,Bowen Alisha,AlishaBowen@gustr.com,GUEST_INVITE,1401444918.0,0,0,107,5022.0,2012-06-29 10:15:18,1340964918,60480000.0,140348172,79868175.0
9,74.0,1.0,74,2013-01-14 00:02:41,Farrell Jack,JackFarrell@gmail.com,SIGNUP_GOOGLE_AUTH,1377302561.0,0,0,89,,2013-01-14 00:02:41,1358121761,19180800.0,123191329,104010532.0
10,80.0,1.0,80,2014-02-28 21:30:38,Silva Samuel,SamuelBarbosaSilva@jourrapide.com,ORG_INVITE,1399239038.0,1,1,49,238.0,2014-02-28 21:30:38,1393623038,5616000.0,87690052,82074055.0
